risk_id	risk_category	severity	affected_files	description	why_it_matters	recommended_action	blocking_next_phase
RISK_ACCESSION_ID_MISMATCH	accession ID mismatch	high	trait table; genotype PLINK/VCF; metadata	trait table 中的 accession-like values 与 B001-style genotype sample IDs 尚未建立可信映射。	Task 1 需要 trait-conditioned localization；trait_state 不能与 genotype accession 错配。	先建立 accession mapping crosswalk，再构建 benchmark 输入表。	yes
RISK_SNP_INDEL_SAMPLE_MISMATCH	SNP / indel sample mismatch	medium	core_v0.7.*; Nipponbare_indel.*	SNP PLINK 与 indel PLINK normalized overlap=3023；需要确认是否为同一 accession panel。	SNP+indel benchmark 需要一致的 accession context。	用 FAM IDs 建立 genotype accession set，并检查所有 candidate genotype 文件的 sample order。	yes
RISK_TRAIT_GENOTYPE_OVERLAP	trait / genotype overlap insufficient	high	3kRG_PhenotypeData_v20170411.xlsx; genotype files	trait_accessions 与 genotype sample IDs 的 raw/normalized overlap 需要人工解释，当前不应假设可直接对齐。	trait_state 构建依赖 accession overlap；否则会产生错误标签或样本泄漏。	检查 phenotype sheet 中 accession 字段含义，并与 RICE_RP/Qmatrix/FAM 建立映射。	yes
RISK_REFERENCE_BUILD_MISMATCH	reference build mismatch	medium	FASTA/GFF3; SNP/indel genotype	FASTA/GFF3 为 RefSeq NC_* 命名，SNP/indel genotype 多为 numeric chromosome 命名。	reference window extraction 和 variant coordinate lookup 需要统一 coordinate system。	建立 1-12 到 NC_029256.1-NC_029267.1 的 chromosome mapping，并记录 source provenance。	yes
RISK_CHROMOSOME_NAMING_MISMATCH	chromosome naming mismatch	medium	data/raw/variants/snp/NB_bialSNP_pseudo.vcf.gz,data/raw/variants/snp/NB_bialSNP_pseudo_canonical_ALL.vcf.gz,Nipponbare_indel,core_v0.7	numeric chromosome 与 RefSeq accession-style seqid 不能直接 join。	直接 join 会导致 variant/window/gene annotation 无匹配。	在 Phase 4 前固定 chromosome naming normalization 规则。	yes
RISK_WEAK_EVIDENCE_MISSING	weak evidence missing or unverified	medium	data/raw/evidence/known_genes/oryzabase/OryzabaseGeneListEn.tsv,data/raw/evidence/qtl/qtaro/qtaro_sjis.zip	已发现 2 个 raw weak evidence candidate，但尚未做 provenance、coordinate build 和 checksum/manifest 补登记。	weak evidence 只有在 provenance、trait specificity 和 coordinate build 清楚时才能作为 weak localization evidence。	补登记 source、checksum 和 coordinate build；不能把 weak evidence 写成 causal ground truth。	no
RISK_RAW_EVIDENCE_NOT_IN_MANIFEST	unregistered raw evidence	medium	data/raw/evidence/known_genes/oryzabase/OryzabaseGeneListEn.tsv,data/raw/evidence/qtl/qtaro/qtaro_sjis.zip	部分 evidence raw files 不在当前 checksum manifest 中。	未登记 checksum 的 raw evidence 后续不可作为可复现输入。	在确认来源后更新 manifest/checksum；若 provenance 不清楚则仅作为待审阅 raw candidate。	no
RISK_UNKNOWN_NOT_NEGATIVE	unknown cannot be negative	high	all unlabeled variants/windows	未被 weak evidence 标注的 SNP/indel 不能自动作为 negative。	unknown != negative 是本 benchmark 的核心标签原则。	后续使用 matched decoy 或 explicitly unlabeled policy，不能使用 naive negative sampling。	yes
RISK_ARCHIVE_CONTENT_UNCLEAR	archive content unclear	medium	RICE_RP.tar.gz; 3K_coreSNP-v2.1.plink.tar.gz; chr zip archives	archive 已列目录，但大型 PED/BED/VCF-like 成员未全量解析。	archive 内部格式和 sample order 可能决定 mini/core 数据选择。	只在确定 v0.1-mini/v0.2-core 范围后解包必要小文件或使用 streaming parser。	no
RISK_LARGE_GENOTYPE_NOT_FULLY_INSPECTED	large genotype file not fully inspected	medium	VCF, PED, BED, per-chromosome zip	本阶段只检查 header、FAM/BIM 和 archive listing，未全量解析 genotype matrix。	variant count、missingness、sample order 和 genotype encoding 仍需后续验证。	Phase 4/5 只对选定 mini 范围做受控解析。	no
