source_id	data_category	dataset_name	species	reference_build	variant_type	expected_format	expected_size	candidate_source_name	download_url_or_access_method	access_method_type	priority	required_for_task	used_for_table	verification_status	download_status	risk_level	risk_notes	exclude_from_v1	notes
SRC_3K_ACCESSION_METADATA_001	accession_metadata	SNP-Seek 3K variety/passport metadata	Oryza sativa	not_applicable	none	HTML/database	unknown	SNP-Seek mirrors / IRIC	https://snp-seek.irri.org/	database	P0	Task1+Task2	accession_table	partially_verified	not_downloaded	high	Original SNP-Seek service is temporarily offline; mirror access and export behavior need validation	no	用于 accession_id、variety name、sample_id、subpopulation、country/region 和 phenotype/passport ID mapping
SRC_3K_ACCESSION_METADATA_002	accession_metadata	3K Rice S3 / SNP-Seek mirror file inventory	Oryza sativa	unknown	none	HTML/database	unknown	42basepairs 3K Rice / SNP-Seek mirror	https://42basepairs.com/browse/s3/3kricegenome/snpseek-dl	https	P1	manifest_only	accession_table	partially_verified	not_downloaded	medium	Mirror source requires checksum and version validation against original AWS/SNP-Seek source	no	可辅助发现 RICE_RP、PLINK、VCF 等文件入口；不能替代人工 source review
SRC_3K_SNP_GENOTYPE_001	snp_genotype	3K Rice SNP-Seek base/filtered/core SNP sets	Oryza sativa	Nipponbare / IRGSP-1.0	SNP	VCF/HDF5/PLINK	unknown	AWS Open Data Registry 3000 Rice Genomes	s3://3kricegenome/snpseek-dl/3krg-base-filt-core-v0.7/	s3	P0	Task1	variant_table;snp_table;genotype_table	partially_verified	not_downloaded	high	Exact file list, version, chromosome partitioning and checksums require manual validation; large file risk	no	SNP-Seek literature describes all/base/filtered/core SNP sets; 42basepairs exposes the candidate S3 prefix
SRC_3K_SNP_GENOTYPE_002	snp_genotype	3K Core SNP PLINK dataset	Oryza sativa	Nipponbare / IRGSP-1.0	SNP	PLINK archive	unknown	42basepairs 3K_coreSNP-v2.1.plink mirror	https://42basepairs.com/browse/s3/3kricegenome/snpseek-dl?file=3K_coreSNP-v2.1.plink.tar.gz&preview=	https	P1	Task1	variant_table;snp_table;genotype_table	partially_verified	not_downloaded	medium	Mirror metadata is visible but checksum/version must be validated before use	no	可作为 mini/core SNP candidate；不能替代 full SNP+indel benchmark 的 P0 genotype source
SRC_3K_INDEL_GENOTYPE_001	indel_genotype	SNP-Seek short indel genotype dataset	Oryza sativa	Nipponbare / IRGSP-1.0	indel	VCF/HDF5	unknown	SNP-Seek mirrors / AWS 3K RG VCF tracks	https://snp-seek.irri.org/	database	P0	Task1+Task2	variant_table;indel_table;genotype_table;edit_operation_table	partially_verified	not_downloaded	high	Original SNP-Seek service is temporarily offline; exact indel bulk download path and version need manual verification	no	NAR 2017 SNP-Seek update describes short indel data and genotype matrix display; must verify ref/alt representation before schema work
SRC_3K_INDEL_GENOTYPE_002	indel_genotype	3K RG accession-level VCF files	Oryza sativa	Nipponbare / IRGSP-1.0	SNP+indel	VCF	unknown	AWS Open Data Registry 3000 Rice Genomes	s3://3kricegenome/VCF/	s3	P0	Task1+Task2	variant_table;indel_table;genotype_table	partially_verified	not_downloaded	high	Exact VCF path, chromosome/accession layout and indel normalization require manual validation; large file risk	no	AWS registry verifies bucket availability; SNP pipeline emits variant calls with SNP and indel-capable settings
SRC_REF_IRGSP_FASTA_001	reference_genome	Nipponbare IRGSP-1.0 reference genome	Oryza sativa Japonica Group	IRGSP-1.0	none	FASTA	unknown	NCBI Datasets GCA_001433935.1	https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_001433935.1/	https	P0	Task1+Task2	window_table	partially_verified	not_downloaded	medium	NCBI Datasets GCA_001433935.1 page may be removed or redirected; prefer checking GCF_001433935.1 / IRGSP-1.0 assembly entry before Phase 2B download.	no	候选 reference 入口，但 Phase 2B 前必须确认 GCF/GCA source choice、FASTA package、chromosome naming 和 checksum
SRC_REF_IRGSP_FASTA_003	reference_genome	Nipponbare IRGSP-1.0 reference genome, RefSeq assembly	Oryza sativa	IRGSP-1.0	none	FASTA/GFF3	unknown	NCBI Assembly / NCBI Datasets GCF_001433935.1	https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_001433935.1/	https	P0	Task1+Task2	window_table;reference_sequence;variant_coordinate_context	partially_verified	not_downloaded	medium	Need to pin exact downloadable FASTA package and checksum before download	no	Candidate replacement/confirmation source for IRGSP-1.0 reference genome
SRC_REF_IRGSP_FASTA_002	reference_genome	Os-Nipponbare-Reference-IRGSP-1.0	Oryza sativa Japonica Group	IRGSP-1.0	none	FASTA/GFF3	unknown	RAP-DB	https://rapdb.dna.affrc.go.jp/	https	P1	Task1+Task2	window_table;gene_annotation_table	needs_manual_review	not_downloaded	medium	Current RAP-DB download route and archive URL require manual verification	no	可作为 NCBI reference 的交叉核验来源；必须确认坐标与 3K variants 一致
SRC_GENE_ANNOTATION_001	gene_annotation	NCBI Oryza sativa Japonica Group Annotation Release 102	Oryza sativa Japonica Group	IRGSP-1.0	none	GFF3/GTF/GBFF	unknown	NCBI RefSeq annotation report	https://www.ncbi.nlm.nih.gov/refseq/annotation_euk/Oryza_sativa_Japonica_Group/102/	https	P1	explanation	gene_annotation_table;candidate_gene_ranking_table	partially_verified	not_downloaded	low	NCBI/RAP/MSU gene IDs may differ; ID mapping must be documented	no	NCBI metadata confirms annotation release on IRGSP-1.0 / GCF_001433935.1
