source_id	data_category	priority	candidate_source_name	checked_path_or_url	check_method	check_status	n_candidate_files	candidate_file_examples	expected_format	reference_build	phase2b_ready	manual_confirmation_required	notes
SRC_3K_ACCESSION_METADATA_001	accession_metadata	P0	SNP-Seek mirrors / IRIC	https://snp-seek.irri.org/	curl -I	reachable_landing_page_only	0		HTML/database	not_applicable	no	yes	HTTP 200 only confirms landing page; no exact accession metadata export URL or fields confirmed
SRC_3K_SNP_GENOTYPE_001	snp_genotype	P0	AWS Open Data Registry 3000 Rice Genomes	s3://3kricegenome/snpseek-dl/3krg-base-filt-core-v0.7/	aws s3 ls	aws_cli_unavailable	0		VCF/HDF5/PLINK	Nipponbare / IRGSP-1.0	needs_manual_confirmation	yes	aws CLI not available; exact SNP file list requires later listing or manual check
SRC_3K_INDEL_GENOTYPE_001	indel_genotype	P0	SNP-Seek mirrors / AWS 3K RG VCF tracks	https://snp-seek.irri.org/	curl -I	reachable_landing_page_only	0		VCF/HDF5	Nipponbare / IRGSP-1.0	no	yes	HTTP 200 only confirms landing page; exact short indel bulk file path unresolved
SRC_3K_INDEL_GENOTYPE_002	indel_genotype	P0	AWS Open Data Registry 3000 Rice Genomes	s3://3kricegenome/VCF/	aws s3 ls	aws_cli_unavailable	0		VCF	Nipponbare / IRGSP-1.0	needs_manual_confirmation	yes	aws CLI not available; exact joint VCF/indel file names and accession layout unresolved
SRC_REF_IRGSP_FASTA_001	reference_genome	P0	NCBI Datasets GCA_001433935.1	https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_001433935.1/	source_inventory_review	reachable_landing_page_only	0		FASTA	IRGSP-1.0	needs_manual_confirmation	yes	GCA landing page retained but not used as exact download source
SRC_REF_IRGSP_FASTA_003	reference_genome	P0	NCBI Assembly / NCBI Datasets GCF_001433935.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/433/935/GCF_001433935.1_IRGSP-1.0/	curl -I	exists	3	GCF_001433935.1_IRGSP-1.0_genomic.fna.gz;GCF_001433935.1_IRGSP-1.0_genomic.gff.gz;md5checksums.txt	FASTA/GFF3	IRGSP-1.0	yes	yes	Exact FASTA, GFF3 and md5checksums.txt paths returned HTTP 200; Phase 2C must still run dry-run first and compute sha256 after download
SRC_TRAIT_TABLE_001	trait_table	P0	SNP-Seek mirrors	https://snp-seek.irri.org/	curl -I	reachable_landing_page_only	0		HTML/database/XLSX	not_applicable	no	yes	HTTP 200 only confirms landing page; trait export and accession overlap unresolved
SRC_TRAIT_TABLE_003	trait_table	P0	IRRI / 3KRG phenotype spreadsheet metadata	https://s3-ap-southeast-1.amazonaws.com/oryzasnp-atcg-irri-org/3kRG-phenotypes/3kRG_PhenotypeData_v20170411.xlsx	curl -I	needs_manual_review	0		XLSX	not_applicable	no	yes	HTTP 403 Forbidden on HEAD; accession ID fields, access method and source version unresolved
SRC_WEAK_KNOWN_GENES_001	weak_evidence	P0	OGRO / Oryzabase / Q-TARO	to_be_verified	not_checked	needs_manual_review	0		HTML/database/TSV	mixed	no	yes	No exact export URL; requires database ID mapping and provenance confirmation
SRC_WEAK_QTL_001	weak_evidence	P0	Q-TARO / LSDB Archive	https://dbarchive.biosciencedbc.jp/en/qtaro/desc.html	curl -I	reachable_landing_page_only	0		HTML/database	mixed	no	yes	HTTP 200 metadata page only; exact QTL file/export and coordinate build unresolved
SRC_WEAK_GWAS_001	weak_evidence	P0	Literature supplementary / RiceVarMap / SNP-Seek	to_be_verified	not_checked	needs_manual_review	0		TSV/CSV/PDF supplementary	Nipponbare / IRGSP-1.0	defer	yes	No concrete file URL and high evidence leakage risk; manual literature curation required
SRC_EXCLUDED_PAV_SV_001	weak_evidence	P2	RPAN / 3K pan-genome resources	https://cgm.sjtu.edu.cn/3kricedb/about.php	not_checked	excluded_for_v1	0		mixed	mixed	exclude_from_v1	no	SV/PAV/CNV or pan-genome content outside v1 scope
