evidence_id	trait_id_or_name	gene_id	gene_symbol	evidence_source	source_database	source_record_id	evidence_type	support_level	species	chrom	start	end	reference_build	coordinate_mapping_status	allowed_usage	evidence_split_candidate	notes
KGE_00000001	TO:0000074 - blast disease;TO:0000401 - plant growth hormone sensitivity	Os01g0100900	SPL1, OsSPL1, OsSPL	RAP-DB JSON	RAP-DB_curated_genes	Os01g0100900	known_trait_gene	high_confidence	Oryza sativa	1	35623	41136	IRGSP-1.0 / GCF_001433935.1	mapped_high_confidence	development_evidence_candidate	development	references=1; external knowledge is not a training label
KGE_00000002	TO:0000227 - root length;TO:0000019 - seedling height;TO:0000095 - osmotic response sensitivity;TO:0000357 - growth and development trait;TO:0006001 - salt tolerance;TO:0000615 - abscisic acid sensitivity;TO:0000303 - cold tolerance;TO:0001034 - relative plant height;TO:0000516 - relative root length	Os01g0101600	SCR106, RRM1-1, OsSCR106, OsRRM1-1	RAP-DB JSON	RAP-DB_curated_genes	Os01g0101600	known_trait_gene	high_confidence	Oryza sativa	1	72823	77699	IRGSP-1.0 / GCF_001433935.1	mapped_high_confidence	development_evidence_candidate	development	references=1; external knowledge is not a training label
KGE_00000003	TO:0000303 - cold tolerance;TO:0000276 - drought tolerance	Os01g0102000	NPC5, OsNPC6, NPC6, OsNPC5	RAP-DB JSON	RAP-DB_curated_genes	Os01g0102000	known_trait_gene	high_confidence	Oryza sativa	1	89763	91521	IRGSP-1.0 / GCF_001433935.1	mapped_high_confidence	development_evidence_candidate	development	references=1; external knowledge is not a training label
KGE_00000004	TO:0000494 - pigment content;TO:0002715 - chloroplast development trait	Os01g0102300	TLP27, OsTLP27	RAP-DB JSON	RAP-DB_curated_genes	Os01g0102300	known_trait_gene	high_confidence	Oryza sativa	1	134300	135439	IRGSP-1.0 / GCF_001433935.1	mapped_high_confidence	development_evidence_candidate	development	references=1; external knowledge is not a training label
KGE_00000005	unspecified_trait	Os01g0102400	HAP5H, OsNF-YC9, NF-YC9, OsHAP5H, NFYC9	RAP-DB JSON	RAP-DB_curated_genes	Os01g0102400	known_trait_gene	high_confidence	Oryza sativa	1	139826	141555	IRGSP-1.0 / GCF_001433935.1	mapped_high_confidence	development_evidence_candidate	development	references=2; external knowledge is not a training label
KGE_00000006	TO:0000074 - blast disease;TO:0000276 - drought tolerance;TO:0006001 - salt tolerance	Os01g0102800	CSB, OsCHR704, CHR704, OsCBS	RAP-DB JSON	RAP-DB_curated_genes	Os01g0102800	known_trait_gene	high_confidence	Oryza sativa	1	151409	156449	IRGSP-1.0 / GCF_001433935.1	mapped_high_confidence	development_evidence_candidate	development	references=1; external knowledge is not a training label
KGE_00000007	TO:0000075 - light sensitivity	Os01g0102900	LIR1, Lir1, OsLIR1, Os-LIR1	RAP-DB JSON	RAP-DB_curated_genes	Os01g0102900	known_trait_gene	high_confidence	Oryza sativa	1	169390	170316	IRGSP-1.0 / GCF_001433935.1	mapped_high_confidence	development_evidence_candidate	development	references=2; external knowledge is not a training label
KGE_00000008	TO:0006001 - salt tolerance;TO:0000011 - nitrogen sensitivity;TO:0000371 - yield trait;TO:0001032 - relative panicle number	Os01g0103100	NPF6.1, OsNPF6.1	RAP-DB JSON	RAP-DB_curated_genes	Os01g0103100	known_trait_gene	high_confidence	Oryza sativa	1	178607	180548	IRGSP-1.0 / GCF_001433935.1	mapped_high_confidence	development_evidence_candidate	development	references=1; external knowledge is not a training label
KGE_00000009	TO:0000615 - abscisic acid sensitivity;TO:0000276 - drought tolerance;TO:0006001 - salt tolerance;TO:0000303 - cold tolerance;TO:0000148 - viral disease resistance;TO:0000326 - leaf color;TO:0000605 - hydrogen peroxide content;TO:0000261 - insect damage resistance;TO:0006002 - proline content	Os01g0104100	NCA1A, OsNCA1a, NCA1a, OsCOIN, COIN, OsRING1, RING1	RAP-DB JSON	RAP-DB_curated_genes	Os01g0104100	known_trait_gene	high_confidence	Oryza sativa	1	209771	214173	IRGSP-1.0 / GCF_001433935.1	mapped_high_confidence	development_evidence_candidate	development	references=2; external knowledge is not a training label
KGE_00000010	TO:0000516 - relative root length;TO:0000354 - aluminum sensitivity;TO:0000205 - white-backed planthopper resistance	Os01g0104200	NAC16, OsNAC016, ONAC016, ONAC16, OsNAC16	RAP-DB JSON	RAP-DB_curated_genes	Os01g0104200	known_trait_gene	high_confidence	Oryza sativa	1	216126	217664	IRGSP-1.0 / GCF_001433935.1	mapped_high_confidence	development_evidence_candidate	development	references=1; external knowledge is not a training label
KGE_00000011	TO:0000172 - jasmonic acid sensitivity;TO:0000074 - blast disease;TO:0000615 - abscisic acid sensitivity;TO:0006001 - salt tolerance	Os01g0104400	EULS3, OsEULS3, OrysaEULS3, r40c1, Osr40c1	RAP-DB JSON	RAP-DB_curated_genes	Os01g0104400	known_trait_gene	high_confidence	Oryza sativa	1	226897	229229	IRGSP-1.0 / GCF_001433935.1	mapped_high_confidence	development_evidence_candidate	development	references=1; external knowledge is not a training label
KGE_00000012	TO:0002653 - endosperm storage protein content;TO:0000598 - protein content;TO:0000484 - seed shape;TO:0000696 - starch content	Os01g0104500	NAC20, OsNAC20, ONAC020, ONAC20, DLN1, OsDLN1	RAP-DB JSON	RAP-DB_curated_genes	Os01g0104500	known_trait_gene	high_confidence	Oryza sativa	1	241680	243440	IRGSP-1.0 / GCF_001433935.1	mapped_high_confidence	development_evidence_candidate	development	references=1; external knowledge is not a training label
KGE_00000013	TO:0000495 - chlorophyll content;TO:0000290 - flavonoid content;TO:0000064 - embryo related trait;TO:0000399 - grain thickness;TO:0000397 - grain size;TO:0000707 - pericarp color;TO:0000590 - grain weight;TO:0000269 - 100-seed weight;TO:0000734 - grain length;TO:0000653 - seed development trait;TO:0000075 - light sensitivity	Os01g0104600	DET1, OsDET1	RAP-DB JSON	RAP-DB_curated_genes	Os01g0104600	known_trait_gene	high_confidence	Oryza sativa	1	248828	256872	IRGSP-1.0 / GCF_001433935.1	mapped_high_confidence	development_evidence_candidate	development	references=2; external knowledge is not a training label
KGE_00000014	TO:0000206 - leaf angle;TO:0000207 - plant height;TO:0000370 - leaf width;TO:0000040 - panicle length	Os01g0105900	DNL4, DNL-4, OsDNL-4, OsDNL4	RAP-DB JSON	RAP-DB_curated_genes	Os01g0105900	known_trait_gene	high_confidence	Oryza sativa	1	309520	313170	IRGSP-1.0 / GCF_001433935.1	mapped_high_confidence	development_evidence_candidate	development	references=1; external knowledge is not a training label
KGE_00000015	TO:0002657 - oxidative stress;TO:0000074 - blast disease;TO:0000615 - abscisic acid sensitivity	Os01g0106400	IRL, OsIRL	RAP-DB JSON	RAP-DB_curated_genes	Os01g0106400	known_trait_gene	high_confidence	Oryza sativa	1	327128	328450	IRGSP-1.0 / GCF_001433935.1	mapped_high_confidence	development_evidence_candidate	development	references=2; external knowledge is not a training label
KGE_00000016	TO:0000696 - starch content;TO:0000053 - pollen sterility;TO:0002759 - grain number	Os01g0106700	ATM, OsATM	RAP-DB JSON	RAP-DB_curated_genes	Os01g0106700	known_trait_gene	high_confidence	Oryza sativa	1	335708	371194	IRGSP-1.0 / GCF_001433935.1	mapped_high_confidence	development_evidence_candidate	development	references=1; external knowledge is not a training label
