review_id	issue_type	genotype_sample_id	phenotype_sheet	phenotype_row_id	candidate_values	reason	recommended_action	notes
REVIEW_00001	name_match_only	IRIS_313-9939	Data < 2007	2	CIWINI SML::IRGC 50642-1	只有 normalized stock name / before-colon name 匹配，缺少 ID 级证据。	人工核对名称、IRGC、country 和 source accession；通过前不得进入 trait_value_table。	C confidence
REVIEW_00002	name_match_only	IRIS_313-8712	Data < 2007	3	ARC 13829	只有 normalized stock name / before-colon name 匹配，缺少 ID 级证据。	人工核对名称、IRGC、country 和 source accession；通过前不得进入 trait_value_table。	C confidence
REVIEW_00003	name_match_only	IRIS_313-8747	Data < 2007	4	DOM ZARD	只有 normalized stock name / before-colon name 匹配，缺少 ID 级证据。	人工核对名称、IRGC、country 和 source accession；通过前不得进入 trait_value_table。	C confidence
REVIEW_00004	name_match_only	IRIS_313-11821	Data < 2007	5	19	只有 normalized stock name / before-colon name 匹配，缺少 ID 级证据。	人工核对名称、IRGC、country 和 source accession；通过前不得进入 trait_value_table。	C confidence
REVIEW_00005	name_match_only	IRIS_313-8813	Data < 2007	5	ARC 10497	只有 normalized stock name / before-colon name 匹配，缺少 ID 级证据。	人工核对名称、IRGC、country 和 source accession；通过前不得进入 trait_value_table。	C confidence
REVIEW_00006	name_match_only	IRIS_313-8814	Data < 2007	6	SHANKA::IRGC 67848-1	只有 normalized stock name / before-colon name 匹配，缺少 ID 级证据。	人工核对名称、IRGC、country 和 source accession；通过前不得进入 trait_value_table。	C confidence
REVIEW_00007	name_match_only	IRIS_313-9629	Data < 2007	7	JC 157	只有 normalized stock name / before-colon name 匹配，缺少 ID 级证据。	人工核对名称、IRGC、country 和 source accession；通过前不得进入 trait_value_table。	C confidence
REVIEW_00008	name_match_only	IRIS_313-8252	Data < 2007	8	JAGLI BORO::IRGC 27516-2	只有 normalized stock name / before-colon name 匹配，缺少 ID 级证据。	人工核对名称、IRGC、country 和 source accession；通过前不得进入 trait_value_table。	C confidence
REVIEW_00009	name_match_only	IRIS_313-8321	Data < 2007	9	BHADOIA 303::IRGC 6588-1	只有 normalized stock name / before-colon name 匹配，缺少 ID 级证据。	人工核对名称、IRGC、country 和 source accession；通过前不得进入 trait_value_table。	C confidence
REVIEW_00010	name_match_only	IRIS_313-8390	Data < 2007	10	SUFAID 246::IRGC 28303-1	只有 normalized stock name / before-colon name 匹配，缺少 ID 级证据。	人工核对名称、IRGC、country 和 source accession；通过前不得进入 trait_value_table。	C confidence
REVIEW_00011	name_match_only	IRIS_313-8398	Data < 2007	11	KHARSU 80::IRGC 28016-1	只有 normalized stock name / before-colon name 匹配，缺少 ID 级证据。	人工核对名称、IRGC、country 和 source accession；通过前不得进入 trait_value_table。	C confidence
REVIEW_00012	name_match_only	IRIS_313-8410	Data < 2007	12	JABOR SAIL::IRGC 66831-1	只有 normalized stock name / before-colon name 匹配，缺少 ID 级证据。	人工核对名称、IRGC、country 和 source accession；通过前不得进入 trait_value_table。	C confidence
REVIEW_00013	name_match_only	IRIS_313-8554	Data < 2007	13	ARC 11959::IRGC 21780-1	只有 normalized stock name / before-colon name 匹配，缺少 ID 级证据。	人工核对名称、IRGC、country 和 source accession；通过前不得进入 trait_value_table。	C confidence
REVIEW_00014	name_match_only	IRIS_313-8721	Data < 2007	14	HOLOI BASH (SOLOI BASH)::IRGC 64778-1	只有 normalized stock name / before-colon name 匹配，缺少 ID 级证据。	人工核对名称、IRGC、country 和 source accession；通过前不得进入 trait_value_table。	C confidence
