trait_gene_evidence_id	trait_id	trait_name	trait_name_normalized	gene_id	gene_symbol	evidence_id	evidence_source	support_level	trait_mapping_confidence	gene_mapping_confidence	allowed_usage	notes
TGE_00000001	NA	TO:0000074 - blast disease;TO:0000401 - plant growth hormone sensitivity	blast disease plant growth hormone sensitivity	Os01g0100900	SPL1, OsSPL1, OsSPL	KGE_00000001	RAP-DB JSON	high_confidence	broader_evidence_pool_not_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000002	data_lt_2007__cult_code_repro	CULT_CODE_REPRO	root length seedling height osmotic response sensitivity growth and development trait salt tolerance abscisic acid sensitivity cold tolerance relative plant height relative root length	Os01g0101600	SCR106, RRM1-1, OsSCR106, OsRRM1-1	KGE_00000002	RAP-DB JSON	high_confidence	keyword_match_to_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000003	NA	TO:0000303 - cold tolerance;TO:0000276 - drought tolerance	cold tolerance drought tolerance	Os01g0102000	NPC5, OsNPC6, NPC6, OsNPC5	KGE_00000003	RAP-DB JSON	high_confidence	broader_evidence_pool_not_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000004	NA	TO:0000494 - pigment content;TO:0002715 - chloroplast development trait	pigment content chloroplast development trait	Os01g0102300	TLP27, OsTLP27	KGE_00000004	RAP-DB JSON	high_confidence	broader_evidence_pool_not_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000005	NA	unspecified_trait	unspecified trait	Os01g0102400	HAP5H, OsNF-YC9, NF-YC9, OsHAP5H, NFYC9	KGE_00000005	RAP-DB JSON	high_confidence	broader_evidence_pool_not_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000006	NA	TO:0000074 - blast disease;TO:0000276 - drought tolerance;TO:0006001 - salt tolerance	blast disease drought tolerance salt tolerance	Os01g0102800	CSB, OsCHR704, CHR704, OsCBS	KGE_00000006	RAP-DB JSON	high_confidence	broader_evidence_pool_not_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000007	NA	TO:0000075 - light sensitivity	light sensitivity	Os01g0102900	LIR1, Lir1, OsLIR1, Os-LIR1	KGE_00000007	RAP-DB JSON	high_confidence	broader_evidence_pool_not_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000008	NA	TO:0006001 - salt tolerance;TO:0000011 - nitrogen sensitivity;TO:0000371 - yield trait;TO:0001032 - relative panicle number	salt tolerance nitrogen sensitivity yield trait relative panicle number	Os01g0103100	NPF6.1, OsNPF6.1	KGE_00000008	RAP-DB JSON	high_confidence	broader_evidence_pool_not_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000009	NA	TO:0000615 - abscisic acid sensitivity;TO:0000276 - drought tolerance;TO:0006001 - salt tolerance;TO:0000303 - cold tolerance;TO:0000148 - viral disease resistance;TO:0000326 - leaf color;TO:0000605 - hydrogen peroxide content;TO:0000261 - insect damage resistance;TO:0006002 - proline content	abscisic acid sensitivity drought tolerance salt tolerance cold tolerance viral disease resistance leaf color hydrogen peroxide content insect damage resistance proline content	Os01g0104100	NCA1A, OsNCA1a, NCA1a, OsCOIN, COIN, OsRING1, RING1	KGE_00000009	RAP-DB JSON	high_confidence	broader_evidence_pool_not_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000010	NA	TO:0000516 - relative root length;TO:0000354 - aluminum sensitivity;TO:0000205 - white-backed planthopper resistance	relative root length aluminum sensitivity white backed planthopper resistance	Os01g0104200	NAC16, OsNAC016, ONAC016, ONAC16, OsNAC16	KGE_00000010	RAP-DB JSON	high_confidence	broader_evidence_pool_not_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000011	NA	TO:0000172 - jasmonic acid sensitivity;TO:0000074 - blast disease;TO:0000615 - abscisic acid sensitivity;TO:0006001 - salt tolerance	jasmonic acid sensitivity blast disease abscisic acid sensitivity salt tolerance	Os01g0104400	EULS3, OsEULS3, OrysaEULS3, r40c1, Osr40c1	KGE_00000011	RAP-DB JSON	high_confidence	broader_evidence_pool_not_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000012	NA	TO:0002653 - endosperm storage protein content;TO:0000598 - protein content;TO:0000484 - seed shape;TO:0000696 - starch content	endosperm storage protein content protein content seed shape starch content	Os01g0104500	NAC20, OsNAC20, ONAC020, ONAC20, DLN1, OsDLN1	KGE_00000012	RAP-DB JSON	high_confidence	broader_evidence_pool_not_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000013	NA	TO:0000495 - chlorophyll content;TO:0000290 - flavonoid content;TO:0000064 - embryo related trait;TO:0000399 - grain thickness;TO:0000397 - grain size;TO:0000707 - pericarp color;TO:0000590 - grain weight;TO:0000269 - 100-seed weight;TO:0000734 - grain length;TO:0000653 - seed development trait;TO:0000075 - light sensitivity	chlorophyll content flavonoid content embryo related trait grain thickness grain size pericarp color grain weight 100 seed weight grain length seed development trait light sensitivity	Os01g0104600	DET1, OsDET1	KGE_00000013	RAP-DB JSON	high_confidence	broader_evidence_pool_not_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000014	data_lt_2007__cult_code_repro;data_lt_2007__fla_repro	CULT_CODE_REPRO;FLA_REPRO	leaf angle plant height leaf width panicle length	Os01g0105900	DNL4, DNL-4, OsDNL-4, OsDNL4	KGE_00000014	RAP-DB JSON	high_confidence	ambiguous_keyword_match	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000015	NA	TO:0002657 - oxidative stress;TO:0000074 - blast disease;TO:0000615 - abscisic acid sensitivity	oxidative stress blast disease abscisic acid sensitivity	Os01g0106400	IRL, OsIRL	KGE_00000015	RAP-DB JSON	high_confidence	broader_evidence_pool_not_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000016	data_lt_2007__spkf	SPKF	starch content pollen sterility grain number	Os01g0106700	ATM, OsATM	KGE_00000016	RAP-DB JSON	high_confidence	keyword_match_to_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000017	NA	TO:0000160 - UV light sensitivity;TO:0000496 - carotenoid content;TO:0000495 - chlorophyll content;TO:0000075 - light sensitivity	uv light sensitivity carotenoid content chlorophyll content light sensitivity	Os01g0106900	DXR, OsDXR, OsIspC, IspC	KGE_00000017	RAP-DB JSON	high_confidence	broader_evidence_pool_not_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000018	NA	TO:0000605 - hydrogen peroxide content;TO:0000074 - blast disease;TO:0000172 - jasmonic acid sensitivity	hydrogen peroxide content blast disease jasmonic acid sensitivity	Os01g0108600	HLH46, OsHLH46, OsbHLH	KGE_00000018	RAP-DB JSON	high_confidence	broader_evidence_pool_not_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000019	NA	TO:0000326 - leaf color;TO:0002715 - chloroplast development trait;TO:0000293 - chlorophyll-a content;TO:0000295 - chlorophyll-b content;TO:0000396 - grain yield	leaf color chloroplast development trait chlorophyll a content chlorophyll b content grain yield	Os01g0109300	WFSL1, ST3, OsSAMHD1	KGE_00000019	RAP-DB JSON	high_confidence	broader_evidence_pool_not_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
