source_database	local_path	file_name	file_size_bytes	format_guess	download_status	checksum_sha256	data_category	notes
funRiceGenes	data/raw/external_knowledge/funricegenes/funricegenes_home.html	funricegenes_home.html	15137	html	downloaded	e0e21a2355d1556515f1b99eafd58d2e0a6d2ca947b09cd648c8e56610bd5777	external_known_gene_evidence	Static home page with download links and citation metadata
funRiceGenes	data/raw/external_knowledge/funricegenes/funricegenes_shiny_home.html	funricegenes_shiny_home.html	156745	html	downloaded	ec53704f6e64e68367bf6494afcea7083792e9f040508b2dd9a186bd8de6522f	external_known_gene_evidence	Interactive Shiny page saved as metadata and manual-download fallback context
funRiceGenes	data/raw/external_knowledge/funricegenes/geneInfo.table.txt	geneInfo.table.txt	168335	txt	downloaded	42780812a525bb97dc6a7e5d231b3c1052326297bdc40dd5c80d79b72648b5b3	external_known_gene_evidence	Functionally characterized/cloned rice gene table; known gene evidence layer candidate
funRiceGenes	data/raw/external_knowledge/funricegenes/famInfo.table.txt	famInfo.table.txt	328118	txt	downloaded	af63212decf89d65d7b52dcec0face372382be307b993b5ca4cc33f086679682	external_gene_id_mapping	Gene family members table; gene ID mapping and candidate gene explanation support
funRiceGenes	data/raw/external_knowledge/funricegenes/geneKeyword.table.txt	geneKeyword.table.txt	15189535	txt	downloaded	f8afbb50298442cdd3689d3c5c015348e2c62b08d7de6ba7a7dd2ab196456210	external_functional_annotation	Gene-keyword table; functional annotation and candidate explanation layer candidate
funRiceGenes	data/raw/external_knowledge/funricegenes/reference.table.txt	reference.table.txt	14671997	txt	downloaded	4a1422447ebefbe51a10ded06593c22d631f20a01e1d59b3e3f0bed840dd90f6	external_known_gene_evidence	Literature reference table; evidence provenance support
funRiceGenes	data/raw/external_knowledge/funricegenes/net.pdf	net.pdf	944861	pdf	downloaded	08dc1817d15876ecf20838ed61a127d3a8a442ffaa4d2a061ce4ea2a3b9c7c17	external_functional_annotation	Interaction network PDF; metadata/explanation support only in 07A
funRiceGenes	data/raw/external_knowledge/funricegenes/help.pdf	help.pdf	1474174	pdf	downloaded	bf1d55b2fd32f631dbdbfc8cbc633f85182f0057013059827fba056465400a16	external_known_gene_evidence	Help manual; metadata and schema interpretation support
MSU_RGAP	data/raw/external_knowledge/msu_rgAP/downloads_gad.shtml	downloads_gad.shtml	8599	html	downloaded	aca0e34e3c7bab8a0da64b8c1411de5b84a243c0a31a32b3c793065a970d299f	external_gene_annotation	Batch download page; metadata and fallback provenance
MSU_RGAP	data/raw/external_knowledge/msu_rgAP/download_osa1r7.shtml	download_osa1r7.shtml	12947	html	downloaded	499e85544b5ac147cfc622808c2e44f73af1f1212516f26231f4cb9cbd3b94dd	external_gene_annotation	Release 7 download page; file link provenance metadata
MSU_RGAP	data/raw/external_knowledge/msu_rgAP/osa1_r7.all_models.gff3.gz	osa1_r7.all_models.gff3.gz	8901387	gff3.gz	downloaded	e8421ecfa75bb68f7c38ab270c1188bf5966b2bfa10a0e94da6db5d92b3462b3	external_gene_annotation	All gene models GFF3; gene annotation layer candidate
MSU_RGAP	data/raw/external_knowledge/msu_rgAP/osa1_r7.all_models.functional_annotation.txt.gz	osa1_r7.all_models.functional_annotation.txt.gz	486107	txt.gz	downloaded	81ed3ee46fc028a7fed8e14b83ecb488c189e4bdd856fcb7d0c0c29ae48c107f	external_functional_annotation	Functional annotation for all gene models; annotation and explanation layer candidate
MSU_RGAP	data/raw/external_knowledge/msu_rgAP/osa1_r7.locus_brief_info.txt.gz	osa1_r7.locus_brief_info.txt.gz	1299036	txt.gz	downloaded	d4223e46a02be86d5ef0db86c9eda64ee9aabe3d04148f24a463f57147253eb7	external_gene_annotation	Locus brief information table; gene annotation and ID audit support
MSU_RGAP	data/raw/external_knowledge/msu_rgAP/osa1_r7.all_models.GOSlim.txt.gz	osa1_r7.all_models.GOSlim.txt.gz	922586	txt.gz	downloaded	27276f236f940bfc2ba47c306c1af99c5989c812fa8eecfbc593420483e44a4c	external_functional_annotation	GO Slim annotation; functional annotation layer candidate
MSU_RGAP	data/raw/external_knowledge/msu_rgAP/legacy_annotation_dbs_index.html	legacy_annotation_dbs_index.html	916	html	downloaded	bfec65209100e6cb7fda32ecd77a628cd04bd6e43db0ef4aeb299c2979b4e7bd	external_gene_annotation	Legacy download index; metadata and manual fallback context
RAP-DB	data/raw/external_knowledge/rapdb/irgsp1_download_page.html	irgsp1_download_page.html	8190	html	downloaded	6e5fc190d1944a78efdd219d20895cd92f3147290a39ea49283bb1e705cad185	external_gene_annotation	RAP-DB IRGSP-1.0 download page; link provenance metadata
RAP-DB	data/raw/external_knowledge/rapdb/download.99861702.js	download.99861702.js	19391	js	downloaded	632539148d3dcac5a98e353eff9286185fa7a80f0bffc93d956d8ce73e96d3d0	external_gene_annotation	RAP-DB download page JavaScript containing versioned file links
RAP-DB	data/raw/external_knowledge/rapdb/IRGSP-1.0_representative_annotation_2026-02-05.tsv.gz	IRGSP-1.0_representative_annotation_2026-02-05.tsv.gz	3305126	tsv.gz	downloaded	e7d13a7d2ff852061f5ac890efa117fbba5f0a580a4eda4233404d49a93c062d	external_gene_annotation	Representative gene annotation table; annotation layer candidate
RAP-DB	data/raw/external_knowledge/rapdb/IRGSP-1.0_representative_transcript_exon_2026-02-05.gtf.gz	IRGSP-1.0_representative_transcript_exon_2026-02-05.gtf.gz	2049986	gtf.gz	downloaded	f46a12e4b2651bab87a613d60f4eceecdbb67e97c04399c1c70cadd10bdddc95	external_gene_annotation	Representative transcript exon GTF; coordinate annotation layer candidate
RAP-DB	data/raw/external_knowledge/rapdb/RAP-MSU_2026-02-05.txt.gz	RAP-MSU_2026-02-05.txt.gz	314930	txt.gz	downloaded	75f3c7c2b81837ee0ec94c17b73ba36ae6e7c3f93192840399e8887553c77e00	external_gene_id_mapping	RAP-DB to MSU LOC_Os ID mapping table; gene ID mapping layer candidate
RAP-DB	data/raw/external_knowledge/rapdb/IRGSP-1.0_transcript-evidence_2012-04-11.txt.gz	IRGSP-1.0_transcript-evidence_2012-04-11.txt.gz	339560	txt.gz	downloaded	d34455672ce480dd0dda93fb925c656c5837e5b9de0b70d4a3972b66be3ce562	external_gene_id_mapping	Transcript evidence accession/species mapping; metadata and ID audit support
RAP-DB	data/raw/external_knowledge/rapdb/curated_gene_list.html	curated_gene_list.html	8810	html	downloaded	d6b9bd3469c418e4919e3a89e07f06bc31ec5c98791e45dd1efabbf544ac033d	external_known_gene_evidence	RAP-DB curated genes page; known gene evidence provenance
RAP-DB	data/raw/external_knowledge/rapdb/curated_genes.json	curated_genes.json	7230266	json	downloaded	029b3a2ab2737e801046daf6735f81b8e1ea813f28407f011eabeea4faf40b01	external_known_gene_evidence	RAP-DB curated genes JSON; known gene evidence layer candidate
RAP-DB	data/raw/external_knowledge/rapdb/agri_gene_list.html	agri_gene_list.html	8678	html	downloaded	5a4e97ddefb0f7c6196792c46d20d29111baba2d6c3438e86d13978045d59151	external_known_gene_evidence	RAP-DB agronomically important genes page; known gene evidence provenance
RAP-DB	data/raw/external_knowledge/rapdb/agri_genes.json	agri_genes.json	1397267	json	downloaded	798b0766be73e63918ad75f788df101a82978a8b581df51b69cbda70cc9bd84a	external_known_gene_evidence	RAP-DB agronomically important genes JSON; known gene evidence layer candidate
