database_name	url	data_type	main_use	priority	download_status	expected_files	expected_format	blocks_current_phase	risk	recommended_next_action	notes
RAP-DB	https://rapdb.dna.affrc.go.jp/	gene annotation; RAP ID; gene function; curated genes; ID mapping	IRGSP-1.0 gene annotation, RAP/MSU/RefSeq bridge, candidate gene explanation	high	not_started	gene annotation tables; ID conversion tables; functional annotation	GFF3/TSV/HTML export	no	URL/export route and release version must be pinned; ID mapping may conflict with NCBI/RAP/MSU names	metadata_check_first	第一优先；补 gene coordinate 和 explanation，不替代 3K genotype backbone。
funRiceGenes	https://funricegenes.github.io/	functionally characterized rice genes; cloned gene evidence; literature evidence	known gene evidence, gene function, candidate gene explanation	high	not_started	gene list; function table; literature provenance	TSV/CSV/HTML export	no	gene ID namespace and update version must be documented	metadata_check_first	第一优先；与 Oryzabase 合并时必须保留 provenance 和 evidence tier。
Oryzabase	https://shigen.nig.ac.jp/rice/oryzabase/	known/cloned trait genes; trait ontology; gene-trait annotation	Tier 1 weak localization evidence and candidate gene explanation	high	downloaded	OryzabaseGeneListEn.tsv	TSV	no	RAP/MSU/gene symbol coordinate mapping remains unresolved	download_now	已有 raw file；继续整理字段和 gene coordinate mapping。
Q-TARO	https://dbarchive.biosciencedbc.jp/en/qtaro/desc.html	QTL interval; trait category; literature reference	Tier 4 weak localization evidence and window-level support	high	downloaded	qtaro_sjis.zip	SHIFT_JIS CSV archive	no	coordinate build and interval convention must be confirmed	download_now	已有 raw file；不能作为 causal ground truth。
RiceVarMap / RiceVarMap2	https://ricevarmap.ncpgr.cn/	external SNP/indel variation; allele frequency; variant annotation	external variant knowledge and candidate variant explanation	medium_high	not_started	variant annotation; allele frequency; trait association pages if available	database export/TSV/VCF-like annotation	no	Do not merge genotype matrix into 3K backbone; accession/source compatibility must be reviewed	metadata_check_first	作为 external knowledge / annotation / evidence layer，而不是替代 3K genotype backbone。
Rice Genome Annotation Project / MSU	http://rice.uga.edu/	MSU gene model; MSU locus ID; RAP-MSU mapping	legacy literature ID support and RAP/MSU bridge	medium_high	not_started	MSU gene annotation; ID mapping tables	GFF3/TSV	no	legacy build/version must be reconciled with IRGSP-1.0 and RAP/RefSeq IDs	metadata_check_first	第二优先；主要解决 literature ID compatibility。
Ensembl Plants / Gramene	https://plants.ensembl.org/Oryza_sativa/Info/Index; https://www.gramene.org/	gene annotation; cross-reference; GO/ontology; gene ID mapping	RAP/MSU/Ensembl/RefSeq cross-reference and ontology layer	medium	not_started	xref tables; GFF3/GTF; GO/ontology annotations	TSV/GFF3/GTF/BioMart export	no	release drift can change gene IDs; version pinning required	metadata_check_first	第二优先；补充 gene explanation 和 ontology。
MBKbase-rice	https://www.mbkbase.org/rice/	germplasm information; known alleles; phenotype; gene expression; multi-omics	germplasm annotation, known allele evidence, expression/multi-omics explanation	medium	not_started	germplasm table; known allele table; expression metadata	database export/TSV/HTML	no	Do not import external phenotypes as benchmark target; accession compatibility unclear	metadata_check_first	第三优先；作为解释层，不替代主 genotype/trait backbone。
Lin et al. 2020 PNAS	https://www.pnas.org/	hybrid rice yield / heterosis external evidence; heterotic loci	yield-related case study and external validation evidence	medium	not_started	paper supplementary tables; loci lists	PDF/XLSX/TSV supplementary	no	Trait/panel overlap and evidence leakage must be reviewed manually	metadata_check_first	第三优先；只做 case study/external evidence。
Sanciangco Harvard Dataverse	https://doi.org/10.7910/DVN/HGRSJG	external GWAS evidence; SNP/indel association results; LD-pruned PLINK	historical trait GWAS and comparison evidence	medium	metadata_checked	GWAS csv.gz result files; LD-pruned PLINK; trait tables	CSV.GZ/PLINK/TAB	no	Large files and external panel can create leakage; current raw download failed/deferred	defer	保留 metadata；当前不阻塞主流程，优先自跑 3K GWAS。
