review_id	record_type	source_database	source_record_id	raw_trait_name	raw_gene_id	raw_gene_symbol	candidate_mappings	ambiguity_reason	recommended_action	priority	notes
MR_00000001	gene_id_mapping	RAP-DB	MAP_00000003	NA	Os01g0100300	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000002	gene_id_mapping	RAP-DB	MAP_00000007	NA	Os01g0100650	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000003	gene_id_mapping	RAP-DB	MAP_00000026	NA	Os01g0102850	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000004	gene_id_mapping	RAP-DB	MAP_00000029	NA	Os01g0103050	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000005	gene_id_mapping	RAP-DB	MAP_00000031	NA	Os01g0103400	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000006	gene_id_mapping	RAP-DB	MAP_00000033	NA	Os01g0103650	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000007	gene_id_mapping	RAP-DB	MAP_00000041	NA	Os01g0104350	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000008	gene_id_mapping	RAP-DB	MAP_00000049	NA	Os01g0105450	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000009	gene_id_mapping	RAP-DB	MAP_00000065	NA	Os01g0107801	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000010	gene_id_mapping	RAP-DB	MAP_00000074	NA	Os01g0109000	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000011	gene_id_mapping	RAP-DB	MAP_00000076	NA	Os01g0109201	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000012	gene_id_mapping	RAP-DB	MAP_00000079	NA	Os01g0109432	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000013	gene_id_mapping	RAP-DB	MAP_00000085	NA	Os01g0110050	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000014	gene_id_mapping	RAP-DB	MAP_00000092	NA	Os01g0110901	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000015	gene_id_mapping	RAP-DB	MAP_00000096	NA	Os01g0111300	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000016	gene_id_mapping	RAP-DB	MAP_00000106	NA	Os01g0112201	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000017	gene_id_mapping	RAP-DB	MAP_00000110	NA	Os01g0112600	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000018	gene_id_mapping	RAP-DB	MAP_00000111	NA	Os01g0112701	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000019	gene_id_mapping	RAP-DB	MAP_00000119	NA	Os01g0113500	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
