trait_id	source_sheet	trait_name	trait_type_guess	n_total_accessions	n_non_missing	missing_rate	n_unique_values	numeric_convertible	mean	std	min	q05	q25	median	q75	q95	max	recommended_for_v0_1	recommendation_priority	recommendation_reason	notes
data_gt_2007__apanth_repro	Data > 2007	APANTH_REPRO	binary	149	6	0.959732	2	true	4.333333	1.032796	3	3	3.5	5	5	5	5	false	P2	样本数较少或暂不适合进入 v0.1-mini	Lemma_Anthocyanin colouration of area below apiculus; numeric summary describes encoded category values only
data_gt_2007__apco_rev_post	Data > 2007	APCO_REV_POST	categorical	149	149	0	5	true	36.09396	25.657922	20	20	20	20	70	80	87	false	P2	样本数较少或暂不适合进入 v0.1-mini	Apiculus color at post-harvest; numeric summary describes encoded category values only
data_gt_2007__apco_rev_repro	Data > 2007	APCO_REV_REPRO	categorical	149	149	0	5	true	64.174497	10.059775	20	60	60	60	60	80	87	false	P2	样本数较少或暂不适合进入 v0.1-mini	Apiculus color at reproductive; numeric summary describes encoded category values only
data_gt_2007__apsh	Data > 2007	APSH	binary	149	149	0	2	true	1.657718	0.476074	1	1	1	2	2	2	2	false	P2	样本数较少或暂不适合进入 v0.1-mini	Lemma shape of apiculus; numeric summary describes encoded category values only
data_gt_2007__auco_rev_veg	Data > 2007	AUCO_REV_VEG	categorical	149	149	0	4	true	63.530201	5.203373	62	62	62	62	62	80	84	false	P2	样本数较少或暂不适合进入 v0.1-mini	Auricle color at vegetative; numeric summary describes encoded category values only
data_gt_2007__awco_lrev	Data > 2007	AWCO_LREV	categorical	149	33	0.778523	3	true	34.545455	24.250117	20	20	20	20	70	80	80	false	P2	样本数较少或暂不适合进入 v0.1-mini	Awn color (Late observation); numeric summary describes encoded category values only
data_gt_2007__awco_rev	Data > 2007	AWCO_REV	categorical	149	35	0.765101	6	true	45.742857	28.494935	11	11	11	61	70	80	80	false	P2	样本数较少或暂不适合进入 v0.1-mini	Awn color; numeric summary describes encoded category values only
data_gt_2007__awdist	Data > 2007	AWDIST	categorical	149	35	0.765101	5	true	2.657143	1.643935	1	1	1	2	4.5	5	5	false	P2	样本数较少或暂不适合进入 v0.1-mini	Distribution of awns; numeric summary describes encoded category values only
data_gt_2007__blanthdi_veg	Data > 2007	BLANTHDI_VEG	categorical	149	17	0.885906	3	true	85.705882	1.311712	85	85	85	85	86	89	89	false	P2	样本数较少或暂不适合进入 v0.1-mini	Leaf blade distribution of anthocyanin coloration; numeric summary describes encoded category values only
data_gt_2007__blanthpr_veg	Data > 2007	BLANTHPR_VEG	categorical	149	17	0.885906	1	true	1	0	1	1	1	1	1	1	1	false	P2	样本数较少或暂不适合进入 v0.1-mini	Leaf blade anthocyanin coloration; numeric summary describes encoded category values only
data_gt_2007__blco_rev_veg	Data > 2007	BLCO_REV_VEG	categorical	149	149	0	3	true	60.838926	1.340971	60	60	60	60	63	63	63	false	P2	样本数较少或暂不适合进入 v0.1-mini	Blade color at vegetative; numeric summary describes encoded category values only
data_gt_2007__blpub_veg	Data > 2007	BLPUB_VEG	categorical	149	149	0	3	true	2.879195	0.448914	1	2	3	3	3	3	3	false	P2	样本数较少或暂不适合进入 v0.1-mini	Blade pubescence at vegetative; numeric summary describes encoded category values only
data_gt_2007__blsco_anth_veg	Data > 2007	BLSCO_ANTH_VEG	binary	149	18	0.879195	2	true	3.444444	0.855585	3	3	3	3	3	5	5	false	P2	样本数较少或暂不适合进入 v0.1-mini	Leaf sheath anthocyanin coloration; numeric summary describes encoded category values only
data_gt_2007__blsco_rev_veg	Data > 2007	BLSCO_REV_VEG	categorical	149	149	0	3	true	63.946309	8.830066	60	60	60	60	60	84	84	false	P2	样本数较少或暂不适合进入 v0.1-mini	Basal leafsheath color at vegetative; numeric summary describes encoded category values only
data_gt_2007__cco_rev_veg	Data > 2007	CCO_REV_VEG	categorical	149	149	0	3	true	62.261745	4.775212	60	61	61	61	61	80	80	false	P2	样本数较少或暂不适合进入 v0.1-mini	Collar color at vegetative - cultivated; numeric summary describes encoded category values only
data_gt_2007__cropyear	Data > 2007	CROPYEAR	id_or_metadata	149	149	0	0	false										false	metadata	ID 或 metadata 字段，不作为 trait_state	excluded from trait_value_table and trait_state_table
data_gt_2007__cuan_repro	Data > 2007	CUAN_REPRO	categorical	149	149	0	3	true	3.241611	1.450308	1	1	3	3	5	5	5	false	P2	样本数较少或暂不适合进入 v0.1-mini	Culm angle at reproductive; numeric summary describes encoded category values only
data_gt_2007__cust_repro	Data > 2007	CUST_REPRO	categorical	149	149	0	5	true	7.483221	1.780541	1	3.8	7	7	9	9	9	false	P2	样本数较少或暂不适合进入 v0.1-mini	Culm strength at reproductive - cultivated; numeric summary describes encoded category values only
data_gt_2007__fla_erepro	Data > 2007	FLA_EREPRO	categorical	149	149	0	4	true	2.825503	1.592769	1	1	1	3	5	5	7	false	P2	样本数较少或暂不适合进入 v0.1-mini	Flagleaf (attitude of blade) - Early observation; numeric summary describes encoded category values only
data_gt_2007__fla_repro	Data > 2007	FLA_REPRO	categorical	149	149	0	4	true	4.436242	1.889953	1	1	3	5	5	7	7	false	P2	样本数较少或暂不适合进入 v0.1-mini	Flag leaf angle at reproductive - cultivated; numeric summary describes encoded category values only
