source_id	data_category	dataset_name	candidate_source_name	download_url_or_access_method	reference_build	expected_format	verification_status	risk_level	phase2_action	manual_check_required	review_notes
SRC_3K_ACCESSION_METADATA_001	accession_metadata	SNP-Seek 3K variety/passport metadata	SNP-Seek mirrors / IRIC	https://snp-seek.irri.org/	not_applicable	HTML/database	partially_verified	high	prepare_download_script	yes	SNP-Seek 原入口临时离线；Phase 2 可准备 mirror/export 检查脚本，但下载前必须确认 accession_id、sample_id、variety name 和导出方式
SRC_3K_SNP_GENOTYPE_001	snp_genotype	3K Rice SNP-Seek base/filtered/core SNP sets	AWS Open Data Registry 3000 Rice Genomes	s3://3kricegenome/snpseek-dl/3krg-base-filt-core-v0.7/	Nipponbare / IRGSP-1.0	VCF/HDF5/PLINK	partially_verified	high	prepare_download_script	yes	可准备 source listing 和 checksum 计划；下载前必须确认 file list、release、chromosome partitioning、sample list 和 accession overlap
SRC_3K_INDEL_GENOTYPE_001	indel_genotype	SNP-Seek short indel genotype dataset	SNP-Seek mirrors / AWS 3K RG VCF tracks	https://snp-seek.irri.org/	Nipponbare / IRGSP-1.0	VCF/HDF5	partially_verified	high	manual_verify_first	yes	indel bulk download path 未明确且 SNP-Seek 入口离线；先人工确认 exact source、version 和 ref/alt 表示
SRC_3K_INDEL_GENOTYPE_002	indel_genotype	3K RG accession-level VCF files	AWS Open Data Registry 3000 Rice Genomes	s3://3kricegenome/VCF/	Nipponbare / IRGSP-1.0	VCF	partially_verified	high	prepare_download_script	yes	可准备 VCF source listing；下载前必须确认 exact prefix、是否 accession-level、是否含 SNP+indel、indel normalization 和文件大小
SRC_REF_IRGSP_FASTA_001	reference_genome	Nipponbare IRGSP-1.0 reference genome	NCBI Datasets GCA_001433935.1	https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_001433935.1/	IRGSP-1.0	FASTA	partially_verified	low	prepare_download_script	yes	优先作为主 reference candidate；下载前确认 package、chromosome naming、checksum、FAI/dict 生成规则
SRC_TRAIT_TABLE_001	trait_table	SNP-Seek / IRGCIS 3K passport and phenotype data	SNP-Seek mirrors	https://snp-seek.irri.org/	not_applicable	HTML/database/XLSX	partially_verified	high	manual_verify_first	yes	SNP-Seek export 与 accession overlap 未确认；先人工确认 trait table 字段、单位、重复测量和环境信息
SRC_TRAIT_TABLE_003	trait_table	3kRG phenotype spreadsheet	IRRI / 3KRG phenotype spreadsheet metadata	https://s3-ap-southeast-1.amazonaws.com/oryzasnp-atcg-irri-org/3kRG-phenotypes/3kRG_PhenotypeData_v20170411.xlsx	not_applicable	XLSX	needs_manual_review	high	manual_verify_first	yes	Phase 1 未下载直接数据文件；Phase 2 前必须确认访问许可、版本、checksum 和是否适合构建 trait_state
SRC_WEAK_KNOWN_GENES_001	weak_evidence	Rice known trait genes / cloned genes	OGRO / Oryzabase / Q-TARO	to_be_verified	mixed	HTML/database/TSV	needs_manual_review	medium	manual_verify_first	yes	先确认数据库可访问性、gene ID、coordinate build 和 trait-specific provenance；不得写成 causal ground truth
SRC_WEAK_QTL_001	weak_evidence	Q-TARO representative rice QTLs	Q-TARO / LSDB Archive	https://dbarchive.biosciencedbc.jp/en/qtaro/desc.html	mixed	HTML/database	partially_verified	medium	prepare_download_script	yes	可准备 metadata/export 检查；下载前确认 QTL coordinate build、trait category 和 remapping 需求
SRC_WEAK_GWAS_001	weak_evidence	Literature-curated 3K Rice GWAS lead SNPs	Literature supplementary / RiceVarMap / SNP-Seek	to_be_verified	Nipponbare / IRGSP-1.0	TSV/CSV/PDF supplementary	needs_manual_review	high	defer	yes	来源不清楚且 leakage 风险高；先建立人工文献筛选规则和 provenance 字段，不进入自动下载
SRC_EXCLUDED_PAV_SV_001	weak_evidence	3K rice SV/PAV/pan-genome resources	RPAN / 3K pan-genome resources	https://cgm.sjtu.edu.cn/3kricedb/about.php	mixed	mixed	excluded_for_v1	high	exclude_from_v1	no	包含 SV/PAV/CNV 或 pan-genome 内容，明确排除出 v1 主 benchmark
