major_category	trait_category	trait	n_qtl_rows	chrom_values	example_qtl_names	example_references	evidence_tier	notes
Physiological trait	Flowering	heading date	11	10,2,3,6,7,8	QHd7,Hd7,Ef(t),hd8,qHD-6-1	Nakagawa, H., Yamagishi, J., Miyamoto, N., Motoyama, M., Yano, M., and Nemoto, K. (2005). Flowering response of rice to photoperiod and temperature: a QTL analysis using a phenological model. Theor Appl Genet 110, 778-786.,Li, Z.K., Yu, S.B., Lafitte, H.R., Huang, N., Courtois, B., Hittalmani, S., Vijayakumar, C.H., Liu, G.F., Wang, G.C., Shashidhar, H.E., Zhuang, J.Y., Zheng, K.L., Singh, V.P., Sidhu, J.S., Srivantaneeyakul, S., and Khush, G.S. (2003). QTL x environment interactions in rice. I. heading date and plant height. Theor Appl Genet 108, 141-153.,Wang, C.M., Yasui, H., Yoshimura, A., Wan, J.M., and Zhai, H.Q. (2002). Identification of quantitative trait loci controlling F2 sterility and heading date in rice. Yi Chuan Xue Bao 29, 339-342.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Physiological trait	Flowering	days to heading	10	1,3,6,7,8	Hd9,En-Se1,Hd3a,Hd3b,Hd4	Tan, L.B., Zhang, P.J., Fu, Y.C., Liu, F.X., Wang, X.K., and Sun, C.Q. (2004). Identification of quantitative trait loci controlling plant height and days to heading from Yuanjiang common wild rice (Oryza rufipogon Griff.). Yi Chuan Xue Bao 31, 1123-1128.,Lin, H., Ashikari, M., Yamanouchi, U., Sasaki, T., and Yano, M. (2002). Identification and Characterization of a Quantitative Trait Locus, Hd9, Controlling Heading Date in Rice. Breeding Science 52, 35-41.,Monna, L., Sano, Y., and Yano, M. (2000). Genetic mapping of a rice photoperiod sensitivity gene Enhancer-Se1. Rice Genetics Newsletter 17, 40-42.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Dwarf	Plant height	9	1,11,2,3,7	ph1.1,qPHT-1,qPHT1-1,qPH-2,ph1	Marri, P.R., Sarla, N., Reddy, L.V., and Siddiq, E.A. (2005). Identification and mapping of yield and yield related QTLs from an Indian accession of Oryza rufipogon. BMC Genet 6, 33.,Courtois, B., Shen, L., Petalcorin, W., Carandang, S., Mauleon, R., and Li, Z. (2003). Locating QTLs controlling constitutive root traits in the rice population IAC 165 × Co39. Euphytica V134, 335-345.,Hittalmani, S., Shashidhar, H.E., Bagali, P.G., Huang, N., Sidhu, J.S., Singh, V.P., and Khush, G.S. (2002). Molecular mapping of quantitative trait loci for plant growth, yield and yield related traits across three diverse locations in a doubled haploid rice population. Euphytica V125, 207-214.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Dwarf	plant height	9	1,12,3,5,6,7	Ph5-1,ph1,Fh1-2,sd-1,QPh3a	Yan, J., Zhu, J., He, C., Benmoussa, M., and Wu, P. (1998). Molecular Dissection of Developmental Behavior of Plant Height in Rice (Oryza sativa L.). Genetics 150, 1257-1265.,Tan, L.B., Zhang, P.J., Fu, Y.C., Liu, F.X., Wang, X.K., and Sun, C.Q. (2004). Identification of quantitative trait loci controlling plant height and days to heading from Yuanjiang common wild rice (Oryza rufipogon Griff.). Yi Chuan Xue Bao 31, 1123-1128.,Yan, J., Zhu, J., He, C., Benmoussa, M., and Wu, P. (1999). Molecular marker-assisted dissection of genotype &times; environment interaction for plant type traits in rice (Oryza sativa L.). Crop Sci. 39, 538-544.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Bacterial blight resistance	bacterial blight resistance	7	11,4,8	xa5,Xa4,Xa26(t),xa13,Xa3	Wang, W.M., Jiang, G.H., Wang, S.Q., Zhu, L.H., and Zhai, W.X. (2001). Construction of a deep coverage rice BAC library and identification of clones associated with disease-resistant genes. Yi Chuan Xue Bao 28, 120-128.,Sun, X., Yang, Z., Wang, S., and Zhang, Q. (2003). Identification of a 47-kb DNA fragment containing Xa4, a locus for bacterial blight resistance in rice. Theor Appl Genet 106, 683-687.,Yang, Z., Sun, X., Wang, S., and Zhang, Q. (2003). Genetic and physical mapping of a new gene for bacterial blight resistance in rice. Theor Appl Genet 106, 1467-1472.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Seed	1000-grain weight	6	1,10,4,6	qTGWT-10,tgwt4,gw-6	Luo, L.J., Li, Z.K., Mei, H.W., Shu, Q.Y., Tabien, R., Zhong, D.B., Ying, C.S., Stansel, J.W., Khush, G.S., and Paterson, A.H. (2001). Overdominant Epistatic Loci Are the Primary Genetic Basis of Inbreeding Depression and Heterosis in Rice. II. Grain Yield Components. Genetics 158, 1755-1771.,Zhuang, J.Y., Fan, Y.Y., Wu, J.L., Xia, Y.W., and Zheng, K.L. (2001). Comparison of the detection of QTL for yield traits in different generations of a rice cross using two mapping approaches. Yi Chuan Xue Bao 28, 458-464.,Zhuang, J.Y., Fan, Y.Y., Rao, Z.M., Wu, J.L., Xia, Y.W., and Zheng, K.L. (2002). Analysis on additive effects and additive-by-additive epistatic effects of QTLs for yield traits in a recombinant inbred line population of rice. Theor Appl Genet 105, 1137-1145.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Physiological trait	Eating quality	Amylose content	6	2,6,9	ac6,qAC9,amy6-1,qAC-6	Fan, C.C., Yu, X.Q., Xing, Y.Z., Xu, C.G., Luo, L.J., and Zhang, Q. (2005). The main effects, epistatic effects and environmental interactions of QTLs on the cooking and eating quality of rice in a doubled-haploid line population. Theor Appl Genet 110, 1445-1452.,Septiningsih, E.M., Trijatmiko, K.R., Moeljopawiro, S., and McCouch, S.R. (2003). Identification of quantitative trait loci for grain quality in an advanced backcross population derived from the Oryza sativa variety IR64 and the wild relative O. rufipogon. Theor Appl Genet 107, 1433-1441.,Wada, T., Uchimura, Y., Ogata, T., Tsubone, M., and Matsue, Y. (2006). Mapping of QTLs for Physicochemical Properties in Japonica Rice. Breeding Science 56, 253-260.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Physiological trait	Flowering		6	10,3,6	Lhd1(t),qEhd1,OsId1,PhyB,PhyC	Sanchez, P.L., Sobrizal, Ikeda, K., Yasui, H., and Yoshimura, A. (2000). Linkage analysis of late heading genes using Oryza glumaepatula introgression lines. Rice Genetics Newsletter 17, 46-48.,Sanchez, P.L., Sobrizal, Ikeda, K., Yasui, H., and Yoshimura, A. (2001). RFLP mapping of genes controlling heading date found in Oryza glumaepatula Steud. introgression lines in rice. Rice Genetics Newsletter 18, 57-59.,MacKill, D.J., Wang, Z.Y., and Tanksley, S.D. (1990). Linkage between a RFLP probe and photoperiod sensitivity. Rice Genetics Newsletter 7, 145-147.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Panicle/flower	Awned	5	1,4,5,8	An9,An10,An6-mer,An8-glum,An7-glum	Matsushita, S., Kurakazu, T., Sobrizal, Doi, K., and Yoshimura, A. (2003). Mapping of genes for awn in rice using Oryza meridionalis introgression lines. Rice Genetics Newsletter 20, 17-18.,Matsushita, S., Sanchez, P.L., Sobrizal, Doi, K., and Yoshimura, A. (2003). Identification of new alleles of awnness genes, An7 and An8, in rice using Oryza glumaepatula introgression lines. Rice Genetics Newsletter 20, 19-20.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Panicle/flower	Panicle length	5	1,2,8	pl2.1,qPL-1,pl1.1,qPL8	Marri, P.R., Sarla, N., Reddy, L.V., and Siddiq, E.A. (2005). Identification and mapping of yield and yield related QTLs from an Indian accession of Oryza rufipogon. BMC Genet 6, 33.,Hittalmani, S., Shashidhar, H.E., Bagali, P.G., Huang, N., Sidhu, J.S., Singh, V.P., and Khush, G.S. (2002). Molecular mapping of quantitative trait loci for plant growth, yield and yield related traits across three diverse locations in a doubled haploid rice population. Euphytica V125, 207-214.,Septiningsih, E.M., Prasetiyono, J., Lubis, E., Tai, T.H., Tjubaryat, T., Moeljopawiro, S., and McCouch, S.R. (2003). Identification of quantitative trait loci for yield and yield components in an advanced backcross population derived from the Oryza sativa variety IR64 and the wild relative O. rufipogon. Theor Appl Genet 107, 1419-1432.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
