trait_id	source_sheet	trait_name	trait_type_guess	n_non_missing	missing_rate	n_unique_values	category_distribution	descriptor_found	descriptor_source	trait_definition	measurement_method	scale_or_code_meaning	biological_interpretability	coding_risk	recommended_action	manual_review_required	notes
data_lt_2007__spkf	Data < 2007	SPKF	categorical	2094	0.000954	5	3=FERTILE (75-90%):1474(0.7039); 1=HIGHLY FERTILE (>90%):311(0.1485); 5=PARTLY STERILE (50-74%):267(0.1275); 7=HIGHLY STERILE (<50% TO TRACE):41(0.0196); 9=COMPLETELY STERILE (0%):1(0.0005)	true	<2007 Dictionary	Spikelet fertility	3K phenotype descriptor code in phenotype XLSX dictionary	1=HIGHLY FERTILE (>90%); 3=FERTILE (75-90%); 5=PARTLY STERILE (50-74%); 7=HIGHLY STERILE (<50% TO TRACE); 9=COMPLETELY STERILE (0%); 999=MIXTURE	high	low	keep_for_v0_1	false	编码型 trait；不能当作连续生物量
data_lt_2007__fla_repro	Data < 2007	FLA_REPRO	categorical	2092	0.001908	4	5=HORIZONTAL:1035(0.4947); 3=INTERMEDIATE:593(0.2835); 1=ERECT:304(0.1453); 7=DESCENDING:160(0.0765)	true	<2007 Dictionary	Flag leaf angle at reproductive - cultivated	3K phenotype descriptor code in phenotype XLSX dictionary	1=ERECT; 2=ERECT; 3=INTERMEDIATE; 4=INTERMEDIATE; 5=HORIZONTAL; 6=HORIZONTAL; 7=DESCENDING; 999=MIXTURE	high	low	keep_for_v0_1	false	编码型 trait；不能当作连续生物量
data_lt_2007__cult_code_repro	Data < 2007	CULT_CODE_REPRO	categorical	2075	0.010019	7	5=111-130 CM:540(0.2602); 6=131-150 CM:496(0.239); 4=91-110 CM:429(0.2067); 3=71-90 CM:228(0.1099); 7=> 150 CM:212(0.1022); 2=51-70 CM:148(0.0713); 1=< 51 CM:22(0.0106)	true	<2007 Dictionary	Culm length at reproductive	3K phenotype descriptor code in phenotype XLSX dictionary	1=< 51 CM; 2=51-70 CM; 3=71-90 CM; 4=91-110 CM; 5=111-130 CM; 6=131-150 CM; 7=> 150 CM; 999=MIXTURE	high	low	keep_for_v0_1	false	编码型 trait；不能当作连续生物量
data_lt_2007__llt_code	Data < 2007	LLT_CODE	categorical	2076	0.009542	5	3=INTERMEDIATE (41-60 CM):1091(0.5255); 4=LONG (61-80 CM):690(0.3324); 2=SHORT (21-40 CM):265(0.1276); 5=EXTRA LONG (>80 CM):26(0.0125); 1=VERY SHORT (<21 CM):4(0.0019)	true	<2007 Dictionary	Leaf length - cultivated	3K phenotype descriptor code in phenotype XLSX dictionary	1=VERY SHORT (<21 CM); 2=SHORT (21-40 CM); 3=INTERMEDIATE (41-60 CM); 4=LONG (61-80 CM); 5=EXTRA LONG (>80 CM); 999=MIXTURE	high	low	keep_for_v0_1	false	编码型 trait；不能当作连续生物量
data_lt_2007__pex_repro	Data < 2007	PEX_REPRO	categorical	2095	0.000477	8	1=WELL EXSERTED (1):1250(0.5967); 3=MODERATELY WELL EXSERTED (3):433(0.2067); 5=JUST EXSERTED (5):188(0.0897); 7=PARTLY EXSERTED (7):170(0.0811); 9=ENCLOSED:28(0.0134); 4=MODERATELY WELL EXSERTED (4):12(0.0057); 6=JUST EXSERTED (6):10(0.0048); 2=WELL EXSERTED (2):4(0.0019)	true	<2007 Dictionary	Panicle exsertion at reproductive	3K phenotype descriptor code in phenotype XLSX dictionary	1=WELL EXSERTED (1); 2=WELL EXSERTED (2); 3=MODERATELY WELL EXSERTED (3); 4=MODERATELY WELL EXSERTED (4); 5=JUST EXSERTED (5); 6=JUST EXSERTED (6); 7=PARTLY EXSERTED (7); 8=PARTLY EXSERTED (8); 9=ENCLOSED; 999=MIXTURE	high	low	keep_for_v0_1	false	编码型 trait；不能当作连续生物量
data_lt_2007__lsen	Data < 2007	LSEN	categorical	2093	0.001431	7	1=LATE AND SLOW (1):970(0.4634); 5=INTERMEDIATE (5):412(0.1968); 3=LATE AND SLOW (3):392(0.1873); 7=EARLY AND FAST (7):162(0.0774); 9=EARLY AND FAST (9):140(0.0669); 2=LATE AND SLOW (2):14(0.0067); 4=INTERMEDIATE (4):3(0.0014)	true	<2007 Dictionary	Leaf senescence	3K phenotype descriptor code in phenotype XLSX dictionary	1=LATE AND SLOW (1); 2=LATE AND SLOW (2); 3=LATE AND SLOW (3); 4=INTERMEDIATE (4); 5=INTERMEDIATE (5); 6=INTERMEDIATE (6); 7=EARLY AND FAST (7); 8=EARLY AND FAST (8); 9=EARLY AND FAST (9); 999=MIXTURE	high	low	keep_for_v0_1	false	编码型 trait；不能当作连续生物量
data_lt_2007__pth	Data < 2007	PTH	categorical	2092	0.001908	9	5=INTERMEDIATE (5):840(0.4015); 9=EASY (9):735(0.3513); 1=DIFFICULT (1):217(0.1037); 7=EASY (7):110(0.0526); 3=DIFFICULT (3):65(0.0311); 6=INTERMEDIATE (6):43(0.0206); 2=DIFFICULT (2):36(0.0172); 8=EASY (8):27(0.0129); 4=INTERMEDIATE (4):19(0.0091)	true	<2007 Dictionary	Panicle threshability	3K phenotype descriptor code in phenotype XLSX dictionary	1=DIFFICULT (1); 2=DIFFICULT (2); 3=DIFFICULT (3); 4=INTERMEDIATE (4); 5=INTERMEDIATE (5); 6=INTERMEDIATE (6); 7=EASY (7); 8=EASY (8); 9=EASY (9); 999=MIXTURE	medium	medium	keep_for_v0_1	false	编码型 trait；不能当作连续生物量
data_lt_2007__cuan_repro	Data < 2007	CUAN_REPRO	categorical	2094	0.000954	8	3=INTERMEDIATE (3):1109(0.5296); 1=ERECT (1):566(0.2703); 5=OPEN (5):205(0.0979); 7=SPREADING (7):123(0.0587); 2=ERECT (2):67(0.032); 4=INTERMEDIATE (4):22(0.0105); 9=PROCUMBENT:1(0.0005); 6=OPEN (6):1(0.0005)	true	<2007 Dictionary	Culm angle at reproductive	3K phenotype descriptor code in phenotype XLSX dictionary	1=ERECT (1); 2=ERECT (2); 3=INTERMEDIATE (3); 4=INTERMEDIATE (4); 5=OPEN (5); 6=OPEN (6); 7=SPREADING (7); 8=SPREADING (8); 9=PROCUMBENT; 999=MIXTURE	high	low	keep_for_v0_1	false	编码型 trait；不能当作连续生物量
data_lt_2007__cudi_code_repro	Data < 2007	CUDI_CODE_REPRO	binary	2093	0.001431	2	2=THICK (>=5MM):1361(0.6503); 1=THIN (<5MM):732(0.3497)	true	<2007 Dictionary	Culm diam. of basal internode at reproductive	3K phenotype descriptor code in phenotype XLSX dictionary	1=THIN (<5MM); 2=THICK (>=5MM); 999=MIXTURE	high	low	keep_for_v0_1	false	编码型 trait；不能当作连续生物量
data_lt_2007__apco_rev_repro	Data < 2007	APCO_REV_REPRO	categorical	2095	0.000477	9	020=STRAW:880(0.42); 080=PURPLE:548(0.2616); 010=WHITE:467(0.2229); 070=RED:69(0.0329); 087=PURPLE APEX:62(0.0296); 052=BROWN (TAWNY):48(0.0229); 071=RED APEX:12(0.0057); 100=BLACK:5(0.0024); 999=MIXTURE:4(0.0019)	true	<2007 Dictionary	Apiculus color at reproductive	3K phenotype descriptor code in phenotype XLSX dictionary	010=WHITE; 011=WHITISH; 020=STRAW; 052=BROWN (TAWNY); 060=GREEN; 070=RED; 071=RED APEX; 080=PURPLE; 087=PURPLE APEX; 100=BLACK; 999=MIXTURE	medium	medium	keep_for_sensitivity_only	true	编码型 trait；不能当作连续生物量
